Overriding config with config/train_23S_single_0_18_6_300_abs2_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'single'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_single'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 5e-5 # with baby networks can afford to go a bit higher
max_iters = 100000
lr_decay_iters = 100000 # make equal to max_iters usually, but not always.
min_lr = 5e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Tue Feb 27 16:31:57 2024
grad_clip= 1.0
found vocab_size = 7 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_single_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.45M
compiling the model... (takes a ~minute)
iter 2490: loss 1.3713, time 104.84ms, mfu 2.99%
step 2500: train loss 1.3742, val loss 1.3787
iter 2500: loss 1.3781, time 16764.76ms, mfu 2.69%
iter 2510: loss 1.3767, time 103.82ms, mfu 2.72%
iter 2520: loss 1.3730, time 103.80ms, mfu 2.75%
iter 2530: loss 1.3801, time 104.08ms, mfu 2.78%
iter 2540: loss 1.3784, time 104.46ms, mfu 2.80%
iter 2550: loss 1.3739, time 103.81ms, mfu 2.82%
iter 2560: loss 1.3793, time 103.90ms, mfu 2.84%
iter 2570: loss 1.3790, time 103.88ms, mfu 2.86%
iter 2580: loss 1.3756, time 104.25ms, mfu 2.88%
iter 2590: loss 1.3752, time 104.05ms, mfu 2.89%
iter 2600: loss 1.3759, time 104.15ms, mfu 2.90%
iter 2610: loss 1.3742, time 104.47ms, mfu 2.91%
iter 2620: loss 1.3741, time 104.06ms, mfu 2.92%
iter 2630: loss 1.3849, time 103.92ms, mfu 2.93%
iter 2640: loss 1.3807, time 105.08ms, mfu 2.94%
iter 2650: loss 1.3799, time 104.16ms, mfu 2.94%
iter 2660: loss 1.3744, time 103.88ms, mfu 2.95%
iter 2670: loss 1.3749, time 104.16ms, mfu 2.96%
iter 2680: loss 1.3796, time 103.85ms, mfu 2.96%
iter 2690: loss 1.3779, time 104.04ms, mfu 2.97%
iter 2700: loss 1.3777, time 103.86ms, mfu 2.97%
iter 2710: loss 1.3795, time 103.88ms, mfu 2.98%
iter 2720: loss 1.3805, time 104.85ms, mfu 2.98%
iter 2730: loss 1.3806, time 103.99ms, mfu 2.98%
iter 2740: loss 1.3797, time 103.97ms, mfu 2.99%
step 2750: train loss 1.3739, val loss 1.3775
iter 2750: loss 1.3747, time 16770.65ms, mfu 2.69%
iter 2760: loss 1.3785, time 103.98ms, mfu 2.72%
iter 2770: loss 1.3755, time 104.23ms, mfu 2.75%
iter 2780: loss 1.3803, time 104.96ms, mfu 2.78%
iter 2790: loss 1.3783, time 104.96ms, mfu 2.80%
iter 2800: loss 1.3742, time 104.88ms, mfu 2.82%
iter 2810: loss 1.3756, time 104.30ms, mfu 2.84%
iter 2820: loss 1.3767, time 105.12ms, mfu 2.85%
iter 2830: loss 1.3746, time 103.96ms, mfu 2.87%
iter 2840: loss 1.3724, time 104.08ms, mfu 2.88%
iter 2850: loss 1.3776, time 104.30ms, mfu 2.89%
iter 2860: loss 1.3761, time 104.61ms, mfu 2.90%
iter 2870: loss 1.3775, time 103.83ms, mfu 2.92%
iter 2880: loss 1.3781, time 103.82ms, mfu 2.93%
iter 2890: loss 1.3770, time 103.92ms, mfu 2.94%
iter 2900: loss 1.3757, time 104.34ms, mfu 2.94%
iter 2910: loss 1.3780, time 104.27ms, mfu 2.95%
iter 2920: loss 1.3778, time 103.80ms, mfu 2.96%
iter 2930: loss 1.3714, time 103.97ms, mfu 2.96%
iter 2940: loss 1.3739, time 104.15ms, mfu 2.97%
iter 2950: loss 1.3750, time 103.96ms, mfu 2.97%
iter 2960: loss 1.3765, time 103.90ms, mfu 2.98%
iter 2970: loss 1.3748, time 104.33ms, mfu 2.98%
iter 2980: loss 1.3806, time 103.85ms, mfu 2.98%
iter 2990: loss 1.3776, time 104.33ms, mfu 2.99%
step 3000: train loss 1.3741, val loss 1.3773
iter 3000: loss 1.3727, time 16811.62ms, mfu 2.69%
iter 3010: loss 1.3787, time 105.28ms, mfu 2.72%
iter 3020: loss 1.3733, time 105.24ms, mfu 2.75%
iter 3030: loss 1.3758, time 104.97ms, mfu 2.77%
iter 3040: loss 1.3750, time 104.86ms, mfu 2.79%
iter 3050: loss 1.3827, time 105.32ms, mfu 2.81%
iter 3060: loss 1.3738, time 105.16ms, mfu 2.83%
iter 3070: loss 1.3785, time 105.32ms, mfu 2.84%
iter 3080: loss 1.3755, time 105.05ms, mfu 2.86%
iter 3090: loss 1.3738, time 105.11ms, mfu 2.87%
iter 3100: loss 1.3767, time 105.27ms, mfu 2.88%
iter 3110: loss 1.3774, time 105.36ms, mfu 2.89%
