Overriding config with config/train_23S_pairs_0_18_6_300_abs_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'pairs'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_pairs'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 5e-5 # with baby networks can afford to go a bit higher
max_iters = 1500000
lr_decay_iters =  50000 # make equal to max_iters usually, but not always.
min_lr = 5e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Thu Feb 22 19:59:05 2024
grad_clip= 1.0
found vocab_size = 25 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_pairs_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.46M
compiling the model... (takes a ~minute)
iter 2180: loss 1.3219, time 107.35ms, mfu 2.88%
iter 2190: loss 1.5736, time 107.45ms, mfu 2.88%
iter 2200: loss 1.3093, time 107.41ms, mfu 2.88%
iter 2210: loss 1.3670, time 107.53ms, mfu 2.89%
iter 2220: loss 1.2911, time 107.35ms, mfu 2.89%
iter 2230: loss 1.3102, time 107.44ms, mfu 2.89%
iter 2240: loss 1.2280, time 107.32ms, mfu 2.90%
step 2250: train loss 1.2921, val loss 1.3028
iter 2250: loss 1.3158, time 17457.41ms, mfu 2.61%
iter 2260: loss 1.3715, time 107.28ms, mfu 2.64%
iter 2270: loss 1.3189, time 106.87ms, mfu 2.67%
iter 2280: loss 1.2967, time 107.24ms, mfu 2.70%
iter 2290: loss 1.3241, time 107.50ms, mfu 2.72%
iter 2300: loss 1.2006, time 107.46ms, mfu 2.74%
iter 2310: loss 1.2395, time 106.88ms, mfu 2.76%
iter 2320: loss 1.3190, time 106.76ms, mfu 2.78%
iter 2330: loss 1.3650, time 106.33ms, mfu 2.79%
iter 2340: loss 1.3691, time 106.49ms, mfu 2.81%
iter 2350: loss 1.1757, time 106.34ms, mfu 2.82%
iter 2360: loss 1.3678, time 106.91ms, mfu 2.83%
iter 2370: loss 1.3738, time 106.48ms, mfu 2.85%
iter 2380: loss 1.2436, time 107.21ms, mfu 2.85%
iter 2390: loss 1.2578, time 107.02ms, mfu 2.86%
iter 2400: loss 1.2990, time 106.93ms, mfu 2.87%
iter 2410: loss 1.2700, time 106.79ms, mfu 2.88%
iter 2420: loss 1.2828, time 106.71ms, mfu 2.88%
iter 2430: loss 1.3213, time 106.82ms, mfu 2.89%
iter 2440: loss 1.3259, time 106.74ms, mfu 2.89%
iter 2450: loss 1.3018, time 107.20ms, mfu 2.90%
iter 2460: loss 1.3745, time 106.86ms, mfu 2.90%
iter 2470: loss 1.3756, time 107.01ms, mfu 2.90%
iter 2480: loss 1.2564, time 107.04ms, mfu 2.91%
iter 2490: loss 1.3042, time 106.97ms, mfu 2.91%
step 2500: train loss 1.3050, val loss 1.3046
iter 2500: loss 0.9789, time 17410.48ms, mfu 2.62%
iter 2510: loss 1.3676, time 107.14ms, mfu 2.65%
iter 2520: loss 1.3631, time 107.20ms, mfu 2.68%
iter 2530: loss 1.3251, time 107.02ms, mfu 2.70%
iter 2540: loss 1.2557, time 107.23ms, mfu 2.73%
iter 2550: loss 1.3015, time 107.14ms, mfu 2.75%
iter 2560: loss 1.3000, time 107.04ms, mfu 2.76%
iter 2570: loss 1.2522, time 107.11ms, mfu 2.78%
iter 2580: loss 1.3744, time 107.27ms, mfu 2.80%
iter 2590: loss 1.3286, time 107.06ms, mfu 2.81%
iter 2600: loss 1.3135, time 107.35ms, mfu 2.82%
iter 2610: loss 1.3190, time 107.47ms, mfu 2.83%
iter 2620: loss 1.2441, time 107.26ms, mfu 2.84%
iter 2630: loss 1.2648, time 107.30ms, mfu 2.85%
iter 2640: loss 1.3329, time 107.31ms, mfu 2.86%
iter 2650: loss 1.3807, time 107.55ms, mfu 2.86%
iter 2660: loss 1.2115, time 107.26ms, mfu 2.87%
iter 2670: loss 1.3826, time 107.39ms, mfu 2.87%
iter 2680: loss 1.3753, time 107.43ms, mfu 2.88%
iter 2690: loss 1.3266, time 107.35ms, mfu 2.88%
iter 2700: loss 1.3774, time 107.30ms, mfu 2.89%
iter 2710: loss 1.3682, time 107.36ms, mfu 2.89%
iter 2720: loss 1.3741, time 107.46ms, mfu 2.89%
iter 2730: loss 1.3735, time 107.35ms, mfu 2.90%
iter 2740: loss 1.2519, time 107.34ms, mfu 2.90%
step 2750: train loss 1.2985, val loss 1.3100
iter 2750: loss 1.4455, time 17592.10ms, mfu 2.61%
iter 2760: loss 1.3778, time 107.34ms, mfu 2.64%
iter 2770: loss 1.2746, time 107.24ms, mfu 2.67%
iter 2780: loss 1.1351, time 107.36ms, mfu 2.70%
iter 2790: loss 1.3151, time 107.28ms, mfu 2.72%
iter 2800: loss 1.1995, time 107.31ms, mfu 2.74%
iter 2810: loss 1.3175, time 107.30ms, mfu 2.76%
iter 2820: loss 1.2611, time 107.46ms, mfu 2.77%
iter 2830: loss 1.2729, time 107.46ms, mfu 2.79%
iter 2840: loss 1.2858, time 107.43ms, mfu 2.80%
iter 2850: loss 1.3767, time 107.32ms, mfu 2.81%
iter 2860: loss 1.3741, time 107.18ms, mfu 2.83%
iter 2870: loss 1.3829, time 107.45ms, mfu 2.83%
iter 2880: loss 1.2574, time 107.33ms, mfu 2.84%
iter 2890: loss 1.3203, time 107.33ms, mfu 2.85%
iter 2900: loss 1.1493, time 107.41ms, mfu 2.86%
iter 2910: loss 1.3767, time 107.29ms, mfu 2.87%
iter 2920: loss 1.2692, time 107.48ms, mfu 2.87%
iter 2930: loss 1.3300, time 107.43ms, mfu 2.88%
iter 2940: loss 1.3125, time 107.49ms, mfu 2.88%
iter 2950: loss 1.3065, time 107.36ms, mfu 2.88%
iter 2960: loss 1.1973, time 107.15ms, mfu 2.89%
iter 2970: loss 1.3350, time 107.29ms, mfu 2.89%
iter 2980: loss 1.3814, time 107.32ms, mfu 2.90%
iter 2990: loss 1.2248, time 107.27ms, mfu 2.90%
step 3000: train loss 1.3018, val loss 1.3154
iter 3000: loss 1.3761, time 17567.74ms, mfu 2.61%
iter 3010: loss 1.2522, time 107.23ms, mfu 2.64%
iter 3020: loss 1.3314, time 107.35ms, mfu 2.67%
iter 3030: loss 1.2629, time 107.30ms, mfu 2.70%
iter 3040: loss 1.3106, time 107.33ms, mfu 2.72%
iter 3050: loss 1.2201, time 107.60ms, mfu 2.74%
iter 3060: loss 1.3267, time 107.28ms, mfu 2.76%
iter 3070: loss 1.3387, time 107.42ms, mfu 2.77%
iter 3080: loss 1.2755, time 107.60ms, mfu 2.79%
